,NumNodes,GroupSize,AvgDeg,InfectionProbability,NumInfected
110,1000000,10,5,0.02,1
111,1000000,10,5,0.02,1
112,1000000,10,5,0.02,1
113,1000000,10,5,0.02,1
115,1000000,10,5,0.02,1
117,1000000,10,5,0.02,1
118,1000000,10,5,0.02,1
120,1000000,10,5,0.02,1
122,1000000,10,5,0.02,1
123,1000000,10,5,0.02,1
124,1000000,10,5,0.02,1
125,1000000,10,5,0.02,1
126,1000000,10,5,0.02,1
127,1000000,10,5,0.02,1
128,1000000,10,5,0.02,1
129,1000000,10,5,0.02,1
130,1000000,10,5,0.02,1
131,1000000,10,5,0.02,1
132,1000000,10,5,0.02,1
133,1000000,10,5,0.02,1
138,1000000,10,5,0.02,1
139,1000000,10,5,0.02,1
140,1000000,10,5,0.02,1
141,1000000,10,5,0.02,1
142,1000000,10,5,0.02,1
143,1000000,10,5,0.02,1
145,1000000,10,5,0.02,1
146,1000000,10,5,0.02,1
147,1000000,10,5,0.02,1
149,1000000,10,5,0.02,1
101,1000000,10,5,0.02,2
114,1000000,10,5,0.02,2
116,1000000,10,5,0.02,2
119,1000000,10,5,0.02,2
135,1000000,10,5,0.02,2
144,1000000,10,5,0.02,2
104,1000000,10,5,0.02,3
108,1000000,10,5,0.02,3
121,1000000,10,5,0.02,3
137,1000000,10,5,0.02,3
109,1000000,10,5,0.02,4
134,1000000,10,5,0.02,4
148,1000000,10,5,0.02,4
136,1000000,10,5,0.02,12
102,1000000,10,5,0.02,19
100,1000000,10,5,0.02,23
150,1000000,10,5,0.03,1
151,1000000,10,5,0.03,1
156,1000000,10,5,0.03,1
161,1000000,10,5,0.03,1
162,1000000,10,5,0.03,1
164,1000000,10,5,0.03,1
165,1000000,10,5,0.03,1
168,1000000,10,5,0.03,1
169,1000000,10,5,0.03,1
170,1000000,10,5,0.03,1
171,1000000,10,5,0.03,1
172,1000000,10,5,0.03,1
175,1000000,10,5,0.03,1
176,1000000,10,5,0.03,1
177,1000000,10,5,0.03,1
178,1000000,10,5,0.03,1
180,1000000,10,5,0.03,1
181,1000000,10,5,0.03,1
182,1000000,10,5,0.03,1
183,1000000,10,5,0.03,1
184,1000000,10,5,0.03,1
185,1000000,10,5,0.03,1
186,1000000,10,5,0.03,1
187,1000000,10,5,0.03,1
188,1000000,10,5,0.03,1
189,1000000,10,5,0.03,1
193,1000000,10,5,0.03,1
194,1000000,10,5,0.03,1
195,1000000,10,5,0.03,1
197,1000000,10,5,0.03,1
198,1000000,10,5,0.03,1
199,1000000,10,5,0.03,1
155,1000000,10,5,0.03,2
163,1000000,10,5,0.03,2
179,1000000,10,5,0.03,2
160,1000000,10,5,0.03,3
